[2025-06-01 10:21:17] [INFO] Occupancy fetched: room=fg#11, count=0
[2025-06-01 10:58:28] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-06-01 11:14:27] [INFO] Occupancy fetched: room=fg#11, count=0
[2025-06-01 11:29:19] [INFO] Occupancy fetched: room=fg#11, count=1
[2025-06-01 12:09:43] [INFO] Occupancy fetched: room=fg#11, count=1
[2025-06-01 22:01:30] [INFO] Occupancy fetched: room=fg#09, count=0
[2025-06-01 22:02:21] [INFO] Occupancy fetched: room=fg#09, count=0
[2025-06-01 22:03:30] [INFO] Occupancy fetched: room=fg#09, count=1
[2025-06-01 22:05:21] [INFO] Occupancy fetched: room=fg#09, count=1
[2025-06-01 22:08:12] [INFO] Occupancy fetched: room=fg#09, count=1
[2025-06-01 22:08:58] [INFO] Occupancy fetched: room=fg#09, count=2
[2025-06-04 16:46:25] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-06-04 21:03:25] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-06 12:20:42] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-06 12:23:26] [INFO] Occupancy fetched: room=fg#12, count=1
[2025-06-06 13:18:59] [INFO] Occupancy fetched: room=fg#08, count=0
[2025-06-06 21:04:45] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-06-06 22:24:02] [INFO] Occupancy fetched: room=fg#11, count=1
[2025-06-06 22:24:13] [INFO] Occupancy fetched: room=fg#09, count=2
[2025-06-06 22:33:48] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-06 22:55:18] [INFO] Occupancy fetched: room=fg#10, count=0
[2025-06-06 22:57:17] [INFO] Occupancy fetched: room=fg#10, count=0
[2025-06-06 22:58:47] [INFO] Occupancy fetched: room=fg#10, count=0
[2025-06-06 23:07:51] [INFO] Occupancy fetched: room=fg#10, count=0
[2025-06-07 00:08:34] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-07 07:36:48] [INFO] Occupancy fetched: room=fg#09, count=2
[2025-06-07 07:37:17] [INFO] Occupancy fetched: room=fg#09, count=2
[2025-06-07 13:25:26] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-07 13:40:50] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-07 15:42:53] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-06-07 15:45:01] [INFO] Occupancy fetched: room=fg#03, count=1
[2025-06-07 16:06:11] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-07 17:27:02] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-06-07 21:55:03] [INFO] Occupancy fetched: room=fg#10, count=0
[2025-06-09 21:24:03] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-10 21:30:45] [INFO] Occupancy fetched: room=fg#12, count=1
[2025-06-10 21:32:04] [INFO] Occupancy fetched: room=fg#99, count=0
[2025-06-12 14:41:53] [INFO] Occupancy fetched: room=fg#99, count=1
[2025-06-15 10:48:25] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-06-15 16:34:05] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-06-15 16:43:14] [INFO] Occupancy fetched: room=fg#99, count=0
[2025-06-15 16:45:21] [INFO] Occupancy fetched: room=fg#99, count=1
[2025-06-15 16:45:28] [INFO] Occupancy fetched: room=fg#99, count=1
[2025-06-15 17:03:22] [INFO] Occupancy fetched: room=fg#99, count=1
[2025-06-15 17:03:27] [INFO] Occupancy fetched: room=fg#99, count=1
[2025-06-15 17:04:00] [INFO] Occupancy fetched: room=fg#99, count=0
[2025-06-15 17:04:29] [INFO] Occupancy fetched: room=fg#99, count=1
[2025-06-15 17:04:44] [INFO] Occupancy fetched: room=fg#99, count=1
[2025-06-15 17:06:28] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-06-15 17:35:45] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-06-15 18:17:02] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-06-18 12:51:32] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-06-18 15:29:25] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-06-18 16:12:56] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-06-25 21:13:05] [INFO] Occupancy fetched: room=fg#99, count=0
[2025-06-28 15:09:52] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-06-28 17:11:33] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-06-28 17:27:35] [INFO] Occupancy fetched: room=fg#04, count=0
